"Genus","taxon_id"
"TUCKERMANELLA",352739
"TUCKERMANNOPSIS",813872
"TURGIDOSCULUM",379373
"TYLOPHORON",174779
"TYLOTHALLIA",174773
"UMBILICARIA",59968
"UNGUICULARIOPSIS",375283
"URCEOLARIA",NA
"USNEA",67747
"USNOCETRARIA",504612
"VAHLIELLA",174812
"VAINIONORA",532460
"VARICELLARIA",174774
"VARIOLARIA",630829
"VARIOSPORA",532751
"VERMILACINIA",147234
"VERRUCARIA",174766
"VERRUCULOPSIS",532738
"VESTERGRENOPSIS",1032416
"VEZDAEA",174759
"VIGNERONIA",532737
"VIOLELLA",532736
"VIRIDOTHELIUM",793879
"VOUAUXIELLA",174767
"VOUAUXIOMYCES",174741
"VULPICIDA",54322
"WAHLENBERGIELLA",345050
"WAYNEA",174757
"WEDDELLOMYCES",NA
"WENTIOMYCES",375309
"WETMOREANA",532735
"WILLEYA",793861
"XANTHOCARPIA",532698
"XANTHOMENDOZA",174748
"XANTHOPARMELIA",60724
"XANTHOPSORA",NA
"XANTHOPSORELLA",174736
"XANTHORIA",54757
"XENONECTRIELLA",929730
"XEROTREMA",174754
"XYLEBORUS",178605
"XYLOGRAPHA",174723
"XYLOPSORA",532743
"XYLOSCHISTES",453067
"ZAHLBRUCKNERELLA",174722
"ZAMENHOFIA",NA
"ZWACKHIA",532742
"ZWACKHIOMYCES",174715
