id,user.id,user.login,user.observations_count,user.identifications_count,user.created_at,observed_on,place.id,city,location.lat,location.lon,mappable,taxon.id,taxon.name,taxon.rank,quality_grade
22496125,48333,thierola,689,1,2014-08-16T03:04:29+00:00,4/14/2019,NA,NA,37.04367472,-122.0701606,TRUE,49490,Cladonia,genus,needs_id
22493426,28037,metsa,11032,15365,2013-12-30T04:08:15+00:00,4/14/2019,54321,San Francisco Bay Area,37.43369167,-122.3449267,TRUE,117876,Platismatia herrei,species,needs_id
22492269,402494,nancyfox,1806,0,2017-02-08T06:23:00+00:00,4/14/2019,54321,San Francisco Bay Area,37.9235439,-122.5964705,TRUE,117858,Peltigera membranacea,species,needs_id
22491468,1456577,vanessaargonza,33,0,2019-02-02T17:51:36+00:00,4/14/2019,NA,NA,40.85464148,-124.0882629,TRUE,67747,Usnea,genus,needs_id
22489335,875754,finniansheehan,38,0,2018-04-22T17:20:17+00:00,4/14/2019,54321,San Francisco Bay Area,37.57558589,-121.9976443,TRUE,55576,Xanthoria parietina,species,needs_id
22489245,1512775,parisrebl,396,1,2019-03-06T17:52:20+00:00,4/14/2019,962,Los Angeles County,33.46181764,-118.5623791,TRUE,60724,Xanthoparmelia,genus,needs_id
22485719,1590794,brittanyalyse,208,61,2019-04-08T20:29:22+00:00,4/14/2019,NA,NA,40.8776724,-124.1475773,TRUE,119666,Cladonia portentosa,species,needs_id
22485584,8778,gyrrlfalcon,44308,22619,2012-08-13T23:40:51+00:00,4/14/2019,54321,San Francisco Bay Area,37.54674691,-122.2970047,TRUE,67747,Usnea,genus,needs_id
22485320,99796,jenbryant,917,792,2015-05-16T00:36:21+00:00,4/14/2019,54321,San Francisco Bay Area,38.35638809,-122.5413895,TRUE,69436,Flavopunctelia flaventior,species,needs_id
22483987,1481047,uppekkha,11,9,2019-02-18T17:28:39+00:00,4/14/2019,54321,San Francisco Bay Area,37.43852363,-122.293803,TRUE,123175,Evernia prunastri,species,needs_id
