"id","taxonID","identifier","parentNameUsageID","kingdom","phylum","class","order","family","genus","specificEpithet","infraspecificEpithet","modified","scientificName","taxonRank","references"
1134896,"https://www.inaturalist.org/taxa/1134896","https://www.inaturalist.org/taxa/1134896","https://www.inaturalist.org/taxa/55453","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Roccellaceae","Dichosporidium","","","2020-09-27T09:37:03Z","Dichosporidium","genus","https://eol.org/pages/22562"
1134897,"https://www.inaturalist.org/taxa/1134897","https://www.inaturalist.org/taxa/1134897","https://www.inaturalist.org/taxa/1134896","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Roccellaceae","Dichosporidium","brunnthaleri","","2020-09-27T03:13:13Z","Dichosporidium brunnthaleri","species","https://eol.org/pages/6415269"
1134898,"https://www.inaturalist.org/taxa/1134898","https://www.inaturalist.org/taxa/1134898","https://www.inaturalist.org/taxa/1134896","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Roccellaceae","Dichosporidium","nigrocinctum","","2020-09-27T03:13:13Z","Dichosporidium nigrocinctum","species","https://eol.org/pages/54168432"
1134899,"https://www.inaturalist.org/taxa/1134899","https://www.inaturalist.org/taxa/1134899","https://www.inaturalist.org/taxa/1134896","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Roccellaceae","Dichosporidium","sorediatum","","2020-09-27T03:13:13Z","Dichosporidium sorediatum","species","https://eol.org/pages/53777469"
1134958,"https://www.inaturalist.org/taxa/1134958","https://www.inaturalist.org/taxa/1134958","https://www.inaturalist.org/taxa/175489","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Hypotrachyna","mcmulliniana","","2020-09-27T09:27:01Z","Hypotrachyna mcmulliniana","species","http://www.indexfungorum.org/names/names.asp"
1134959,"https://www.inaturalist.org/taxa/1134959","https://www.inaturalist.org/taxa/1134959","https://www.inaturalist.org/taxa/175489","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Hypotrachyna","appalachensis","","2020-09-27T09:32:23Z","Hypotrachyna appalachensis","species","http://www.indexfungorum.org/names/names.asp"
1135337,"https://www.inaturalist.org/taxa/1135337","https://www.inaturalist.org/taxa/1135337","https://www.inaturalist.org/taxa/118252","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Lichenomphalia","","","2020-09-28T03:24:21Z","Lichenomphalia","subgenus","http://www.indexfungorum.org/names/names.asp"
1135338,"https://www.inaturalist.org/taxa/1135338","https://www.inaturalist.org/taxa/1135338","https://www.inaturalist.org/taxa/118252","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Lichenomphalia","","","2020-09-28T03:23:37Z","Protolichenomphalia","subgenus","http://www.indexfungorum.org/names/names.asp"
1135717,"https://www.inaturalist.org/taxa/1135717","https://www.inaturalist.org/taxa/1135717","https://www.inaturalist.org/taxa/461455","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Melanohalea","ushuaiensis","","2020-09-28T14:36:53Z","Melanohalea ushuaiensis","species","http://www.catalogueoflife.org/annual-checklist/details/species/id/9296537"
1136877,"https://www.inaturalist.org/taxa/1136877","https://www.inaturalist.org/taxa/1136877","https://www.inaturalist.org/taxa/462763","Fungi","Ascomycota","Collemopsidiomycetes","Collemopsidiales","Xanthopyreniaceae","Collemopsidium","ostrearum","","2020-10-02T02:21:25Z","Collemopsidium ostrearum","species","http://www.catalogueoflife.org/annual-checklist/details/species/id/9256093"
1136934,"https://www.inaturalist.org/taxa/1136934","https://www.inaturalist.org/taxa/1136934","https://www.inaturalist.org/taxa/175237","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Anzia","leucobatoides","","2020-10-02T13:22:46Z","Anzia leucobatoides","species","https://eol.org/pages/6599462"
1137203,"https://www.inaturalist.org/taxa/1137203","https://www.inaturalist.org/taxa/1137203","https://www.inaturalist.org/taxa/175813","Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Pannariaceae","Fuscopannaria","olivacea","","2020-10-03T20:57:04Z","Fuscopannaria olivacea","species","https://eol.org/pages/53829532"
