"Family","Genus","Authority","id","taxonID","identifier","parentNameUsageID","kingdom","phylum","class","order","family","specificEpithet","infraspecificEpithet","modified","scientificName","taxonRank","references"
"Arthoniales_family_incertae_sedis","Sporostigma","Grube",532748,"https://www.inaturalist.org/taxa/532748","https://www.inaturalist.org/taxa/532748","https://www.inaturalist.org/taxa/55452","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","","","","2018-10-31T05:26:38Z","Sporostigma","genus","https://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm"
"Arthoniales_family_incertae_sedis","Synarthonia","Müll. Arg.",1026218,"https://www.inaturalist.org/taxa/1026218","https://www.inaturalist.org/taxa/1026218","https://www.inaturalist.org/taxa/55452","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","","","","2020-02-02T14:50:23Z","Synarthonia","genus","https://eol.org/pages/9131788"
"Arthrorhaphidaceae","Arthrorhaphis","Th. Fr.",175894,"https://www.inaturalist.org/taxa/175894","https://www.inaturalist.org/taxa/175894","https://www.inaturalist.org/taxa/176050","Fungi","Ascomycota","Lecanoromycetes","","Arthrorhaphidaceae","","","2019-11-23T03:43:13Z","Arthrorhaphis","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2377631"
"Atheliaceae","Athelia","Pers.",175896,"https://www.inaturalist.org/taxa/175896","https://www.inaturalist.org/taxa/175896","https://www.inaturalist.org/taxa/176051","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Atheliaceae","","","2019-08-27T02:29:14Z","Athelia","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2372567"
"Atheliaceae","Athelopsis","Oberw. ex Parmasto",374509,"https://www.inaturalist.org/taxa/374509","https://www.inaturalist.org/taxa/374509","https://www.inaturalist.org/taxa/1205712","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Byssocorticiaceae","","","2021-03-03T09:49:55Z","Athelopsis","genus","http://www.indexfungorum.org/names/names.asp"
"Baeomycetaceae","Ainoa","Lumbsch & I. Schmitt",532052,"https://www.inaturalist.org/taxa/532052","https://www.inaturalist.org/taxa/532052","https://www.inaturalist.org/taxa/176055","Fungi","Ascomycota","Lecanoromycetes","Baeomycetales","Baeomycetaceae","","","2017-02-18T07:02:49Z","Ainoa","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2377207"
"Baeomycetaceae","Anamylopsora","Timdal",175192,"https://www.inaturalist.org/taxa/175192","https://www.inaturalist.org/taxa/175192","https://www.inaturalist.org/taxa/176055","Fungi","Ascomycota","Lecanoromycetes","Baeomycetales","Baeomycetaceae","","","2018-11-06T08:16:52Z","Anamylopsora","genus","http://www.ubio.org/browser/details.php?namebankID=2560822"
"Baeomycetaceae","Baeomyces","Pers.",175954,"https://www.inaturalist.org/taxa/175954","https://www.inaturalist.org/taxa/175954","https://www.inaturalist.org/taxa/176055","Fungi","Ascomycota","Lecanoromycetes","Baeomycetales","Baeomycetaceae","","","2019-08-27T02:16:26Z","Baeomyces","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2377752"
"Baeomycetaceae","Phyllobaeis","Kalb & Gierl",496617,"https://www.inaturalist.org/taxa/496617","https://www.inaturalist.org/taxa/496617","https://www.inaturalist.org/taxa/176055","Fungi","Ascomycota","Lecanoromycetes","Baeomycetales","Baeomycetaceae","","","2021-12-01T13:55:17Z","Phyllobaeis","genus",""
"Biatorellaceae","Biatorella","De Not.",175879,"https://www.inaturalist.org/taxa/175879","https://www.inaturalist.org/taxa/175879","https://www.inaturalist.org/taxa/176049","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Biatorellaceae","","","2019-11-23T03:38:25Z","Biatorella","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2377861"
